"Transaction ID",Date,"Product Name","Total Revenue"
10024,"2024-01-24 00:00:00","Adidas FIFA World Cup Football",89.97
10027,"2024-01-27 00:00:00","Adidas Ultraboost Shoes",359.98
10012,"2024-01-12 00:00:00","Babolat Pure Drive Tennis Racket",599.97
10008,"2024-01-08 00:00:00","Blueair Classic 480i",1199.98
10025,"2024-01-25 00:00:00","Bose QuietComfort 35 Headphones",299.99
10011,"2024-01-11 00:00:00","Chanel No. 5 Perfume",129.99
10010,"2024-01-10 00:00:00","Dune by Frank Herbert",51.98
10017,"2024-01-17 00:00:00","Dyson Supersonic Hair Dryer",399.99
10002,"2024-01-02 00:00:00","Dyson V11 Vacuum",499.99
10019,"2024-01-19 00:00:00","Garmin Forerunner 945",999.98
10022,"2024-01-22 00:00:00","Gone Girl by Gillian Flynn",45.98
10001,"2024-01-01 00:00:00","iPhone 14 Pro",1999.98
10014,"2024-01-14 00:00:00","Keurig K-Elite Coffee Maker",189.99
10003,"2024-01-03 00:00:00","Levi's 501 Jeans",209.97
10029,"2024-01-29 00:00:00","MAC Ruby Woo Lipstick",29.99
10007,"2024-01-07 00:00:00","MacBook Pro 16-inch",2499.99
10018,"2024-01-18 00:00:00","Manduka PRO Yoga Mat",479.96
10005,"2024-01-05 00:00:00","Neutrogena Skincare Set",89.99
10009,"2024-01-09 00:00:00","Nike Air Force 1",539.94
10030,"2024-01-30 00:00:00","Nike Air Zoom Pegasus 37",259.98
10020,"2024-01-20 00:00:00","Ninja Professional Blender",99.99
10015,"2024-01-15 00:00:00","North Face Down Jacket",499.98
10023,"2024-01-23 00:00:00","Olay Regenerist Face Cream",49.99
10026,"2024-01-26 00:00:00","Panasonic NN-SN966S Microwave",179.99
10028,"2024-01-28 00:00:00","Pride and Prejudice by Jane Austen",38.97
10016,"2024-01-16 00:00:00","Salt, Fat, Acid, Heat by Samin Nosrat",107.97
10013,"2024-01-13 00:00:00","Samsung Galaxy Tab S8",1499.98
10031,"2024-01-31 00:00:00","Sony WH-1000XM4 Headphones",699.98
10004,"2024-01-04 00:00:00","The Da Vinci Code",63.96
10006,"2024-01-06 00:00:00","Wilson Evolution Basketball",149.95
10021,"2024-01-21 00:00:00","Zara Summer Dress",179.97
